NCT	Phase	Conditions	Drugs	BriefTitle	OfficialTrial	Oncotree Codes
NCT02595944	3	Stage IB Non-Small Cell Lung Carcinoma AJCC v7|Stage II Non-Small Cell Lung Cancer AJCC v7|Stage IIA Non-Small Cell Lung Carcinoma AJCC v7|Stage IIB Non-Small Cell Lung Carcinoma AJCC v7|Stage IIIA Non-Small Cell Lung Cancer AJCC v7		Nivolumab After Surgery and Chemotherapy in Treating Patients With Stage IB-IIIA Non-small Cell Lung Cancer (An ALCHEMIST Treatment Trial)	Adjuvant Nivolumab in Resected Lung Cancers (ANVIL) - A Randomized Phase III Study of Nivolumab After Surgical Resection and Adjuvant Chemotherapy in Non-Small Cell Lung Cancers	LUNG|MT|CHOL|NSCLC|SCLC
NCT02596503	1	Relapsed Solid Tumors|Refractory Solid Tumors	Eribulin|Irinotecan	A Study of Eribulin in Combination With Oral Irinotecan for Adolescent and Young Adult Patients With Relapsed or Refractory Solid Tumors	A Phase I/II Study of Eribulin in Combination With Oral Irinotecan for Adolescent and Young Adult Patients With Relapsed or Refractory Solid Tumors	
NCT02598661	3	Myelodysplastic Syndromes	Imetelstat|Placebo	Study to Evaluate Imetelstat (JNJ-63935937) in Subjects With International Prognostic Scoring System (IPSS) Low or Intermediate-1 Risk Myelodysplastic Syndrome (MDS)	A Study to Evaluate Imetelstat (JNJ-63935937) in Transfusion-Dependent Subjects With IPSS Low or Intermediate-1 Risk Myelodysplastic Syndrome (MDS) That is Relapsed/Refractory to Erythropoiesis-Stimulating Agent (ESA) Treatment	MDS
NCT02601937	1	Rhabdoid Tumors|INI1-negative Tumors|Synovial Sarcoma|Malignant Rhabdoid Tumor of Ovary	Tazemetostat	A Phase 1 Study of the EZH2 Inhibitor Tazemetostat in Pediatric Subjects With Relapsed or Refractory INI1-Negative Tumors or Synovial Sarcoma	A Phase 1 Study of the EZH2 Inhibitor Tazemetostat in Pediatric Subjects With Relapsed or Refractory INI1-Negative Tumors or Synovial Sarcoma	OVARY|MRT|SYNS
NCT02617589	3	Brain Cancer	Nivolumab|Temozolomide	An Investigational Immuno-therapy Study of Nivolumab Compared to Temozolomide, Each Given With Radiation Therapy, for Newly-diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)	A Randomized Phase 3 Open Label Study of Nivolumab vs Temozolomide Each in Combination With Radiation Therapy in Newly Diagnosed Adult Subjects With Unmethylated MGMT (Tumor O-6-methylguanine DNA Methyltransferase) Glioblastoma (CheckMate 498: CHECKpoint Pathway and Nivolumab Clinical Trial Evaluation 498)	MT
NCT02631876	3	Epithelial Ovarian Cancer|Primary Peritoneal Carcinoma|Fallopian Tube Cancer|Ovarian Cancer	IMGN853|Paclitaxel|Doxorubicin|Topotecan	PH3 Study of Mirvetuximab Soravtansine vs Investigator's Choice of Chemotherapy in Women With FRa+ Adv. EOC, Primary Peritoneal or Fallopian Tube Cancer	FORWARD I: A Randomized, Open Label Phase 3 Study to Evaluate the Safety and Efficacy of Mirvetuximab Soravtansine (IMGN853) Versus Investigator's Choice of Chemotherapy in Women With Folate Receptor Alpha Positive Advanced Epithelial Ovarian Cancer, Primary Peritoneal Cancer or Fallopian Tube Cancer	CCOV|MT|SOC|HGSOC|MOV|EOV|HGSFT|OOVC|LGSOC
NCT02632708	1	Newly Diagnosed Acute Myeloid Leukemia (AML)|Untreated AML|AML Arising From Myelodysplastic Syndrome (MDS)|AML Arising From Antecedent Hematologic Disorder (AHD)|AML Arising After Exposure to Genotoxic Injury	AG-120|AG-221|cytarabine|daunorubicin|idarubicin|mitoxantrone|etoposide	Safety Study of AG-120 or AG-221 in Combination With Induction and Consolidation Therapy in Patients With Newly Diagnosed Acute Myeloid Leukemia With an IDH1 and/or IDH2 Mutation	A Phase 1, Multicenter, Open-Label, Safety Study of AG-120 or AG-221 in Combination With Induction Therapy and Consolidation Therapy in Patients With Newly Diagnosed Acute Myeloid Leukemia With an IDH1 and/or IDH2 Mutation	MDS|AML|CML|MYELOID|DIA
NCT02637687	1/Phase 2	Neoplasms|Central Nervous System Neoplasms	LOXO-101 (larotrectinib)	Oral TRK Inhibitor LOXO-101 (Larotrectinib) for Treatment of Advanced Pediatric Solid or Primary Central Nervous System Tumors	A Phase 1/2 Study of the Oral TRK Inhibitor LOXO-101 (Larotrectinib) in Pediatric Patients With Advanced Solid or Primary Central Nervous System Tumors	MDS/MPN|MLNPCM1JAK2|BFN|TMN|MLNFGFR1|MNGT|MPN|MLNPDGFRB|BRAIN|PRNET|DCS|MTNN|MPNU|MLNPDGFRA|MNGLP|MLNER|MBN
NCT02655822	1	Non-Small Cell Lung Cancer|Malignant Melanoma|Renal Cell Cancer|Triple Negative Breast Cancer|Colorectal Cancer|Bladder Cancer|Metastatic Castration Resistant Prostate Cancer	CPI-444|CPI-444|CPI-444|CPI-444 + atezolizumab|CPI-444	Phase 1/1b Study to Evaluate the Safety and Tolerability of CPI-444 Alone and in Combination With Atezolizumab in Advanced Cancers	A Phase 1/1b, Open-Label, Multicenter, Repeat-Dose, Dose-Selection Study of CPI-444 as Single Agent and in Combination With Atezolizumab in Patients With Selected Incurable Cancers	GBC|MT|RCC|SCBC|ES|PROSTATE|NSCLC|MEL|EPIS|BREAST|BLADDER
NCT02659020	1/Phase 2	Soft Tissue Sarcoma	Olaratumab|Gemcitabine|Docetaxel|Placebo	A Study of Olaratumab (LY3012207) in Participants With Advanced Soft Tissue Sarcoma	A Phase 1b (Open-Label) / Phase 2 (Randomized, Double-Blinded) Study Evaluating Gemcitabine and Docetaxel With or Without Olaratumab in the Treatment of Advanced Soft Tissue Sarcoma	SOFT_TISSUE|MFH|TISSUE|SYNS
NCT02664961	2	Gestational Trophoblastic Neoplasia|Choriocarcinoma|Placental Site Trophoblastic Tumor|Epithelioid Trophoblastic Tumor	TRC105|Bevacizumab	Study of TRC105 and Bevacizumab in Patients With Refractory Gestational Trophoblastic Neoplasia (GTN)	A Phase 2A Study of TRC105 (With Option to Add Bevacizumab) in Patients With Refractory Gestational Trophoblastic Neoplasia (GTN)	MT|ES|UCCA|ETT|BCCA|GTD|EPIS|OCNOS|TCCA|PSTT
NCT02667587	3	Brain Neoplasms	Nivolumab|Temozolomide	An Investigational Immuno-therapy Study of Temozolomide Plus Radiation Therapy With Nivolumab or Placebo, for Newly Diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)	A Randomized Phase 3 Single Blind Study of Temozolomide Plus Radiation Therapy Combined With Nivolumab or Placebo in Newly Diagnosed Adult Subjects With MGMT-Methylated (Tumor O6-methylguanine DNA Methyltransferase) Glioblastoma	
NCT02667873	1	Solid Tumors	SL-801	A Phase 1 Trial of a Novel XPO1 Inhibitor in Patients With Advanced Solid Tumors	A Phase 1 Trial of SL-801, a Novel Inhibitor of XPO1 Nuclear Export, in Patients With Advanced Solid Tumors	
NCT02674568	2	Small Cell Lung Cancer	Rovalpituzumab tesirine	Study of Rovalpituzumab Tesirine (SC16LD6.5) for Third-line and Later Treatment of Subjects With Relapsed or Refractory Delta-Like Protein 3-Expressing Small Cell Lung Cancer (TRINITY)	An Open-label, Single-Arm, Phase 2 Study Evaluating the Efficacy, Safety and Pharmacokinetics of Rovalpituzumab Tesirine (SC16LD6.5) for Third-line and Later Treatment of Subjects With Relapsed or Refractory Delta-Like Protein 3-Expressing Small Cell Lung Cancer (TRINITY)	SCLC
NCT02677116	1	Neoplasm Metastasis	Olaratumab|Doxorubicin|Vincristine|Irinotecan|Ifosfamide	A Study of Olaratumab Alone and in Combination With Standard Chemotherapies in Children With Cancer	A Phase 1, Open-Label, Dose-Escalation Study of Olaratumab as a Single Agent and in Combination With Doxorubicin, Vincristine/Irinotecan, or High-Dose Ifosfamide in Pediatric Patients With Relapsed or Refractory Solid Tumors	
NCT02677922	1/Phase 2	Leukemia, Myeloid, Acute	AG-120|Azacitidine|AG-221	A Safety and Efficacy Study of Oral AG-120 Plus Subcutaneous Azacitidine and Oral AG-221 Plus Subcutaneous Azacitidine in Subjects With Newly Diagnosed Acute Myeloid Leukemia (AML)	A Phase 1b/2 Open-label, Randomized Study of 2 Combinations of Isocitrate Dehydrogenase (IDH) Mutant Targeted Therapies Plus Azacitidine: Oral AG-120 Plus Subcutaneous Azacitidine and Oral AG-221 Plus SC Azacitidine in Subjects With Newly Diagnosed Acute Myeloid Leukemia Harboring an IDH1 or an IDH2 Mutation, Respectively, Who Are Not Candidates to Receive Intensive Induction Chemotherapy	MYELOID
NCT02679144	2	Neuroblastoma	Difluoromethylornithine (DFMO)	Neuroblastoma Maintenance Therapy Trial	NMTT- Neuroblastoma Maintenance Therapy Trial Using Difluoromethylornithine (DFMO)	NBL
NCT02684058	2	Diffuse Astrocytoma|Anaplastic Astrocytoma|Astrocytoma|Oligodendroglioma, Childhood|Anaplastic Oligodendroglioma|Glioblastoma|Pilocytic Astrocytoma|Giant Cell Astrocytoma|Pleomorphic Xanthoastrocytoma|Anaplastic Pleomorphic Xanthoastrocytoma|Angiocentric Glioma|Chordoid Glioma of Third Ventricle|Gangliocytoma|Ganglioglioma|Anaplastic Ganglioglioma|Dysplastic Gangliocytoma of Cerebrellum|Desmoplastic Infantile Astrocytoma and Ganglioglioma|Papillary Glioneuronal Tumor|Rosette-forming Glioneurona Tumor|Central Neurocytoma|Extraventricular Neurocytoma|Cerebellar Iponeurocytoma	dabrafenib|trametinib|Carboplatin with vincristine	Phase II Pediatric Study With Dabrafenib in Combination With Trametinib in Patients With HGG and LGG	Phase II Open-label Global Study to Evaluate the Effect of Dabrafenib in Combination With Trametinib in Children and Adolescent Patients With BRAF V600 Mutation Positive Low Grade Glioma (LGG) or Relapsed or Refractory High Grade Glioma (HGG)	ODG|GB|ASTR|CHGL|PGNT|ES|AGNG|PXA|AASTR|CNC|ANGL|GNG|DASTR|EVN|PAST|DIA|APXA|EPIS|GNC|AODG
NCT02684461	2	Non Small Cell Lung Cancer	Pembrolizumab	Phase II Trial of Sequential Consolidation With Pembrolizumab Followed by Nab-paclitaxel	Phase II Trial of Sequential Consolidation With Pembrolizumab Followed by Nab-paclitaxel After Standard First-Line Induction Chemotherapy in Advanced NSCLC	LUNG|MT|NSCLC|SCLC
NCT02688608	2	Anaplastic Thyroid Cancer	Pembrolizumab	Pembrolizumab in Anaplastic/Undifferentiated Thyroid Cancer	Phase II Trial of Pembrolizumab in Metastatic or Locally Advanced Anaplastic/ Undifferentiated Thyroid Cancer	THAP
NCT02703272	3	Lymphoma, Non-Hodgkin	Ibrutinib|Rituximab|Ifosfamide|Carboplatin|Etoposide|Vincristine|Idarubicin|Dexamethasone	A Safety and Efficacy Study of Ibrutinib in Pediatric and Young Adult Participants With Relapsed or Refractory Mature B-cell Non-Hodgkin Lymphoma	A Randomized, Open-label, Safety and Efficacy Study of Ibrutinib in Pediatric and Young Adult Patients With Relapsed or Refractory Mature B-cell Non-Hodgkin Lymphoma	MLYM|LYMPH
NCT02706626	2	Non-Small Cell Lung Cancer	brigatinib	Trial of Brigatinib After Treatment With Next-Generation ALK Inhibitors	Phase 2 Trial of Brigatinib After Treatment With Next-Generation ALK Inhibitors in Refractory ALK Rearranged Non-Small Cell Lung Cancer (NSCLC)	NSCLC
NCT02715284	1	Advanced or Metastatic Solid Tumors		A Phase 1 Dose Escalation and Cohort Expansion Study of TSR-042, an Anti-PD-1 Monoclonal Antibody, in Patients With Advanced Solid Tumors	A Phase 1 Dose Escalation and Cohort Expansion Study of TSR-042, an Anti-PD-1 Monoclonal Antibody, in Patients With Advanced Solid Tumors	
NCT02717507	2	Cancer Survivor	Carvedilol	Carvedilol in Preventing Heart Failure in Childhood Cancer Survivors	Pharmacologic Reversal of Ventricular Remodeling in Childhood Cancer Survivors at Risk for Heart Failure (PREVENT-HF): A Phase 2b Randomized Placebo-Controlled (Carvedilol) Trial	MT
NCT02719574	1/Phase 2	Acute Myeloid Leukemia|Acute Myelogenous Leukemia|Myelodysplastic Syndrome	FT-2102|Azacitidine|Cytarabine	Open-label Study of FT-2102 With or Without Azacitidine or Cytarabine in Patients With AML or MDS With an IDH1 Mutation	A Phase 1/2, Multicenter, Open-label Study of FT-2102 as a Single Agent and in Combination With Azacitidine or Cytarabine in Patients With Acute Myeloid Leukemia or Myelodysplastic Syndrome With an IDH1 Mutation	MDS|AML
NCT02724579	2	Medulloblastoma|Untreated Childhood Medulloblastoma	Cisplatin|Cyclophosphamide|Lomustine|Vincristine Sulfate	Reduced Craniospinal Radiation Therapy and Chemotherapy in Treating Younger Patients With Newly Diagnosed WNT-Driven Medulloblastoma	A Phase 2 Study of Reduced Therapy for Newly Diagnosed Average-Risk WNT-Driven Medulloblastoma Patients	MBL
NCT02725268	2	Endometrial Neoplasms	Paclitaxel|MLN0128|MLN1117	Phase 2 Study of MLN0128, Combination of MLN0128 With MLN1117, Paclitaxel and Combination of MLN0128 With Paclitaxel in Women With Endometrial Cancer	A Phase 2, Randomized Study of MLN0128 (a Dual TORC1/2 Inhibitor), MLN0128+MLN1117 (a PI3KÎ± Inhibitor), Weekly Paclitaxel, or the Combination of Weekly Paclitaxel and MLN0128 in Women With Advanced, Recurrent, or Persistent Endometrial Cancer	
NCT02728258	2	Endometrial Endometrioid Adenocarcinoma|Endometrial Mixed Adenocarcinoma|Endometrial Serous Adenocarcinoma|Endometrial Undifferentiated Carcinoma|Metastatic Endometrioid Adenocarcinoma|PIK3CA Gene Mutation|Recurrent Uterine Corpus Carcinoma	Copanlisib	Copanlisib in Treating Patients With Persistent or Recurrent Endometrial Cancer	A Phase II Evaluation of Copanlisib (BAY 80-6946), a Selective Inhibitor of PI3KCA, in Patients With Persistent or Recurrent Endometrial Carcinoma Harboring PIK3CA Hotspot Mutations	USC|UEC|CEEN|MT|UTERUS
NCT02729298	1	Advanced Solid Tumors|EGFR Positive Non-small Cell Lung Cancer|Colorectal Carcinoma|Recurrent Ovarian Carcinoma|BRAF-Mutated Melanoma	TP-0903	First-in-human Study of Oral TP-0903 (a Novel Inhibitor of AXL Kinase) in Patients With Advanced Solid Tumors	A Phase 1a / 1b, First-in-human, Open-label, Dose-escalation, Safety, Pharmacokinetic, and Pharmacodynamic Study of Oral TP-0903 Administered Daily for 21 Days to Patients With Advanced Solid Tumors	LUNG|MT|NSCLC|SCLC|MEL
NCT02734537	2	Head and Neck Squamous Cell Carcinoma|Hypopharyngeal Squamous Cell Carcinoma|Laryngeal Squamous Cell Carcinoma|Laryngeal Squamous Cell Carcinoma, Spindle Cell Variant|Lip and Oral Cavity Squamous Cell Carcinoma|p16INK4a Negative Oropharyngeal Squamous Cell Carcinoma|Stage III Hypopharyngeal Carcinoma AJCC v8|Stage III Laryngeal Cancer AJCC v8|Stage III Lip and Oral Cavity Cancer AJCC v8|Stage III Oral Cavity Verrucous Carcinoma|Stage III Oropharyngeal (p16-Negative) Carcinoma AJCC v8|Stage IVA Hypopharyngeal Carcinoma AJCC v8|Stage IVA Laryngeal Cancer AJCC v8|Stage IVA Lip and Oral Cavity Cancer AJCC v8|Stage IVA Oral Cavity Verrucous Carcinoma|Stage IVA Oropharyngeal (p16-Negative) Carcinoma AJCC v8	Cisplatin	Radiation Therapy With or Without Cisplatin in Treating Patients With Stage III-IVA Squamous Cell Carcinoma of the Head and Neck Who Have Undergone Surgery	Phase II Randomized Trial of Radiotherapy With or Without Cisplatin for Surgically Resected Squamous Cell Carcinoma of the Head and Neck (SCCHN) With TP53 Sequencing	MT|HNSC|HPHSC|OCSC|CHOL|LXSC
NCT02741570	3	Head and Neck Cancer	Cetuximab/Erbitux|Cisplatin/Platinol|Carboplatin/Paraplatin|Fluorouracil/Adrucil	Study of Nivolumab in Combination With Ipilimumab Compared to the Standard of Care (Extreme Study Regimen) as First Line Treatment in Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck	An Open Label, Randomized, Two Arm Phase III Study of Nivolumab in Combination With Ipilimumab Versus Extreme Study Regimen (Cetuximab + Cisplatin/Carboplatin + Fluorouracil) as First Line Therapy in Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck (SCCHN)	MT|HEAD_NECK
NCT02748135	1/Phase 2	Relapsed or Refractory Medulloblastoma (MB) (Part A: Also Include Neuroblastoma (NB), Ewing Sarcoma (ES) and Alveolar Rhabdomyosarcoma (ARMS))	TB-403 20mg/kg|TB-403 50mg/kg|TB-403 100mg/kg|TB-403 â‰¤175mg/kg	A Two-Part Study of TB-403 in Pediatric Subjects With Relapsed or Refractory Medulloblastoma	A Two-Part Study of TB-403 in Pediatric Subjects With Relapsed or Refractory Medulloblastoma	RMS|ES|MBL|NBL|EPIS|ARMS
NCT02773849	3	Superficial Bladder Cancer		A Study to Evaluate INSTILADRIN® in Patients With High-Grade, Bacillus Calmette-Guerin (BCG) Unresponsive NMIBC	A Phase III, Open Label Study to Evaluate the Safety and Efficacy of INSTILADRIN® (rAd-IFN)/Syn3) Administered Intravesically to Patients With High Grade, BCG Unresponsive Non-Muscle Invasive Bladder Cancer (NMIBC)	MT|BLADDER
NCT02781506	2	Metastatic Clear Cell Renal Cell Carcinoma	Nivolumab	Nivolumab and Stereotactic Ablative Radiation Therapy (SAbR) for Metastatic Clear Cell Renal Cell Carcinoma	Phase II Trial of Nivolumab and Stereotactic Ablative Radiation Therapy (SAbR) for Metastatic Clear Cell Renal Cell Carcinoma (mRCC)	MT|RCC|CCRCC
NCT02793583	2/Phase 3	Diffuse Large B-Cell Lymphoma|Follicular Lymphoma|Marginal Zone Lymphoma|Small Lymphocytic Lymphoma|Mantle Cell Lymphoma	TGR-1202 + Ublituximab|TGR-1202|TGR-1202 + Ublituximab + Bendamustine	Study to Assess the Efficacy and Safety of Ublituximab + TGR-1202 With or Without Bendamustine and TGR-1202 Alone in Patients With Previously Treated Non-Hodgkins Lymphoma	A Phase 2b Randomized Study to Assess the Efficacy and Safety of the Combination of Ublituximab + TGR-1202 With or Without Bendamustine and TGR-1202 Alone in Patients With Previously Treated Non-Hodgkin's Lymphoma	DLBCLNOS|MZL|MLYM|LYMPH|MCL|CLLSLL|FL|MBN
NCT02811783	3	Mycosis Fungoides|Lymphoma, T-Cell, Cutaneous|Sézary Syndrome	Naloxone Hydrochloride Lotion, 0.5%|Placebo Lotion	Naloxone Hydrochloride Study for Relief of Pruritus in Patients With MF or SS Forms of CTCL	A Double Blind Randomized Vehicle Controlled Crossover Study to Evaluate the Safety and Efficacy of Topical Naloxone Hydrochloride Lotion 0.5% for the Relief of Pruritus in Patients With the MF or SS Forms of Cutaneous T-Cell Lymphoma	MLYM|LYMPH|MYCF
NCT02817113	1	Head and Neck Neoplasms	NC-6004|Cetuximab|5-FU	Study of NC-6004 in Combination With 5-FU and Cetuximab in Patients With Head and Neck Cancer	Phase I Study of NC-6004 in Combination With 5-FU and Cetuximab as First-line Treatment in Patients With Recurrent and/or Metastatic Squamous Cell Carcinoma of the Head and Neck	HEAD_NECK
NCT02828358	2	Acute Leukemia of Ambiguous Lineage|Childhood B Acute Lymphoblastic Leukemia|KMT2A Gene Rearrangement|Mixed Phenotype Acute Leukemia	Azacitidine|Cyclophosphamide|Cytarabine|Daunorubicin Hydrochloride|Dexamethasone|Hydrocortisone Sodium Succinate|Leucovorin Calcium|Mercaptopurine|Methotrexate|Pegaspargase|Prednisolone|Thioguanine|Vincristine Sulfate	Azacitidine and Combination Chemotherapy in Treating Infants With Acute Lymphoblastic Leukemia and KMT2A Gene Rearrangement	A Groupwide Pilot Study to Test the Tolerability and Biologic Activity of the Addition of Azacitidine (NSC# 102816) to Chemotherapy in Infants With Acute Lymphoblastic Leukemia (ALL) and KMT2A (MLL) Gene Rearrangement	MPALBCRABL1|MPALTNOS|MPALKMT2A|MPALBNOS|LYMPH
NCT02834013	2	Acinar Cell Carcinoma|Adenoid Cystic Carcinoma|Adrenal Cortex Carcinoma|Adrenal Gland Pheochromocytoma|Anal Canal Neuroendocrine Carcinoma|Anal Canal Undifferentiated Carcinoma|Appendix Mucinous Adenocarcinoma|Bartholin Gland Transitional Cell Carcinoma|Bladder Adenocarcinoma|Cervical Adenocarcinoma|Cholangiocarcinoma|Chordoma|Colorectal Squamous Cell Carcinoma|Desmoid-Type Fibromatosis|Endometrial Transitional Cell Carcinoma|Endometrioid Adenocarcinoma|Esophageal Neuroendocrine Carcinoma|Esophageal Undifferentiated Carcinoma|Extrahepatic Bile Duct Carcinoma|Fallopian Tube Adenocarcinoma|Fallopian Tube Transitional Cell Carcinoma|Fibromyxoid Tumor|Gastric Neuroendocrine Carcinoma|Gastric Squamous Cell Carcinoma|Gastric Undifferentiated Carcinoma|Gastrointestinal Stromal Tumor|Giant Cell Carcinoma|Intestinal Neuroendocrine Carcinoma|Intrahepatic Cholangiocarcinoma|Lung Carcinoid Tumor|Lung Sarcomatoid Carcinoma|Major Salivary Gland Carcinoma|Malignant Odontogenic Neoplasm|Malignant Peripheral Nerve Sheath Tumor|Malignant Testicular Sex Cord-Stromal Tumor|Metaplastic Breast Carcinoma|Metastatic Malignant Neoplasm of Unknown Primary Origin|Minimally Invasive Lung Adenocarcinoma|Mixed Mesodermal (Mullerian) Tumor|Mucinous Adenocarcinoma|Mucinous Cystadenocarcinoma|Nasal Cavity Adenocarcinoma|Nasal Cavity Carcinoma|Nasopharyngeal Carcinoma|Nasopharyngeal Papillary Adenocarcinoma|Nasopharyngeal Undifferentiated Carcinoma|Oral Cavity Carcinoma|Oropharyngeal Undifferentiated Carcinoma|Ovarian Adenocarcinoma|Ovarian Germ Cell Tumor|Ovarian Mucinous Adenocarcinoma|Ovarian Squamous Cell Carcinoma|Ovarian Transitional Cell Carcinoma|Pancreatic Acinar Cell Carcinoma|Pancreatic Neuroendocrine Carcinoma|Paraganglioma|Paranasal Sinus Adenocarcinoma|Paranasal Sinus Carcinoma|Parathyroid Gland Carcinoma|Pituitary Gland Carcinoma|Placental Choriocarcinoma|Placental-Site Gestational Trophoblastic Tumor|Primary Peritoneal High Grade Serous Adenocarcinoma|Pseudomyxoma Peritonei|Rare Disorder|Scrotal Squamous Cell Carcinoma|Seminal Vesicle Adenocarcinoma|Seminoma|Serous Cystadenocarcinoma|Small Intestinal Adenocarcinoma|Small Intestinal Squamous Cell Carcinoma|Spindle Cell Neoplasm|Squamous Cell Carcinoma of the Penis|Teratoma With Malignant Transformation|Testicular Non-Seminomatous Germ Cell Tumor|Thyroid Gland Carcinoma|Tracheal Carcinoma|Transitional Cell Carcinoma|Ureter Adenocarcinoma|Ureter Squamous Cell Carcinoma|Urethral Adenocarcinoma|Urethral Squamous Cell Carcinoma|Vaginal Adenocarcinoma|Vaginal Squamous Cell Carcinoma, Not Otherwise Specified|Vulvar Carcinoma		Nivolumab and Ipilimumab in Treating Patients With Rare Tumors	DART: Dual Anti-CTLA-4 and Anti-PD-1 Blockade in Rare Tumors	OCS|MPNST|THHC|CEAD|LUNG|SARCL|UAD|CEEN|MT|PHC|NSGCT|ES|UTUC|THYROID|OFMT|NPC|ACC|THPA|PTCA|LUAD|ODGC|GCLC|SNSC|THAP|VULVA|CHOL|SEM|VA|WDTC|IHCH|BCCA|MAAP|OTHER|BLCA|CHDM|PSCC|GIST|EPIS|PAAC|THPD|THFO|STOMACH|VSC|CEMU|MBC|HGNEC|LUCA|BMGT|THME|PGNG|MYXO|ACYC|SACA|PSTT|OGCT|DES|BLAD|TT|USCC|TMT|ACCC|USTAD
NCT02851407	3	Veno-occlusive Disease	Defibrotide	Study Comparing Efficacy and Safety of Defibrotide vs Best Supportive Care in the Prevention of Hepatic Veno-Occlusive Disease in Adult and Pediatric Patients	A Phase 3, Randomized, Adaptive Study Comparing the Efficacy and Safety of Defibrotide vs Best Supportive Care in the Prevention of Hepatic Veno-Occlusive Disease in Adult and Pediatric Patients Undergoing Hematopoietic Stem Cell Transplant	CHOL
NCT02853305	3	Urothelial Carcinoma Associated 1 RNA, Human	Cisplatin|Carboplatin|Gemcitabine	Study of Pembrolizumab With or Without Platinum-based Combination Chemotherapy Versus Chemotherapy Alone in Urothelial Carcinoma (MK-3475-361/KEYNOTE-361)	A Phase III Randomized, Controlled Clinical Trial of Pembrolizumab With or Without Platinum-Based Combination Chemotherapy Versus Chemotherapy in Subjects With Advanced or Metastatic Urothelial Carcinoma	MT|SYNS
NCT02853604	3	High Risk Cervical Cancer|Advanced Cervical Cancer	ADXS11-001|Placebo	Study of ADXS11-001 in Subjects With High Risk Locally Advanced Cervical Cancer	Phase 3 Study of ADXS11-001 Administered Following Chemoradiation as Adjuvant Treatment for High Risk Locally Advanced Cervical Cancer: AIM2CERV	MT
NCT02855125	2	Advanced or Metastatic Non-small Cell Lung Cancer	TAS-114|S-1	A Randomized Phase 2 Trial of TAS-114 in Combination With S-1 Versus S-1	A Randomized, Open-Label, Multi-Center, International Phase 2 Study of TAS-114 in Combination With S-1 in Patients With Advanced or Metastatic Non-Small Cell Lung Cancer	LUNG|MT|NSCLC|SCLC
NCT02867592	2	Adrenal Cortex Carcinoma|Adult Alveolar Soft Part Sarcoma|Adult Clear Cell Sarcoma of Soft Parts|Adult Hepatocellular Carcinoma|Adult Rhabdomyosarcoma|Adult Soft Tissue Sarcoma|Childhood Alveolar Soft Part Sarcoma|Childhood Central Nervous System Neoplasm|Childhood Clear Cell Sarcoma of Soft Parts|Childhood Hepatocellular Carcinoma|Childhood Rhabdomyosarcoma|Childhood Soft Tissue Sarcoma|Childhood Solid Neoplasm|Ewing Sarcoma|Hepatoblastoma|Hepatocellular Carcinoma|Recurrent Adrenal Cortex Carcinoma|Recurrent Adult Hepatocellular Carcinoma|Recurrent Adult Soft Tissue Sarcoma|Recurrent Alveolar Soft Part Sarcoma|Recurrent Childhood Central Nervous System Neoplasm|Recurrent Childhood Hepatocellular Carcinoma|Recurrent Childhood Soft Tissue Sarcoma|Recurrent Ewing Sarcoma|Recurrent Hepatoblastoma|Recurrent Malignant Solid Neoplasm|Recurrent Osteosarcoma|Recurrent Renal Cell Carcinoma|Recurrent Rhabdomyosarcoma|Refractory Osteosarcoma|Renal Cell Carcinoma|Thyroid Gland Medullary Carcinoma|Wilms Tumor	Cabozantinib S-malate	Cabozantinib-S-Malate in Treating Younger Patients With Recurrent, Refractory, or Newly Diagnosed Sarcomas, Wilms Tumor, or Other Rare Tumors	Phase 2 Trial of XL184 (Cabozantinib) an Oral Small-Molecule Inhibitor of Multiple Kinases, in Children and Young Adults With Refractory Sarcomas, Wilms Tumor, and Other Rare Tumors	ASPS|RMS|MT|RCC|ES|ACC|SOFT_TISSUE|BRAIN|HCC|OS|LIHB|CCS|TISSUE|THME|SYNS
NCT02879643	1	ALL, Childhood|Lymphoblastic Leukemia, Acute, Childhood|Lymphoblastic Leukemia, Acute	Marqibo in combination with UK ALL R3	Vincristine Sulfate Liposome Injection (Marqibo®) in Combination With UK ALL R3 Induction Chemotherapy for Children, Adolescents, and Young Adults With Relapsed ALL	A Pilot Study of Vincristine Sulfate Liposome Injection (Marqibo®) in Combination With UK ALL R3 Induction Chemotherapy for Children, Adolescents, and Young Adults With Relapse of Acute Lymphoblastic Leukemia	LYMPH
