,Oncotree,Term
1134,ACC,Adrenal Cortex Cancer
1135,ACC,Adrenal Cortex Carcinoma
1136,ACC,Adrenal Cortical Adenocarcinoma
1137,ACC,Adrenal Cortical Carcinoma
1138,ACC,Adrenocortical Carcinoma
1139,ACC,Carcinoma of Adrenal Cortex
1140,ACC,Carcinoma of the Adrenal Cortex
1141,PINT,Neoplasm of Pineal Area
1142,PINT,Neoplasm of Pineal Region
1143,PINT,Neoplasm of the Pineal Area
1144,PINT,Neoplasm of the Pineal Region
1145,PINT,Pineal Area Neoplasm
1146,PINT,Pineal Area Tumor
1147,PINT,Pineal Body Neoplasm
1148,PINT,Pineal Body Tumor
1149,PINT,Pineal Neoplasm
1150,PINT,Pineal Region Neoplasm
1151,PINT,Pineal Region Tumor
1152,PINT,Pineal Tumor
1153,PINT,Pinealoma
1154,PINT,Tumor of Pineal Area
1155,PINT,Tumor of Pineal Region
1156,PINT,Tumor of the Pineal Area
1157,PINT,Tumor of the Pineal Region
1158,CLLSLL,B-Cell Small Lymphocytic Lymphoma
1159,CLLSLL,Diffuse Well Differentiated Lymphocytic Lymphoma
1160,CLLSLL,SLL
1161,CLLSLL,Small B-Cell Lymphocytic Lymphoma
1162,CLLSLL,Small Lymphocytic Lymphoma
1163,MFS,Myxofibrosarcoma
1164,MFS,Myxoid Fibrous Histiocytoma
1165,MFS,Myxoid Malignant Fibrous Histiocytoma
1166,MFS,Myxoid MFH
1167,BRSRCC,Mammary Signet Ring Cell Carcinoma
1168,BRSRCC,Primary Mammary Signet Ring Cell Carcinoma
1169,BRSRCC,Primary Signet Ring Cell Breast Carcinoma
1170,BRSRCC,Primary Signet Ring Cell Carcinoma of Breast
1171,BRSRCC,Primary Signet Ring Cell Carcinoma of the Breast
1172,BRSRCC,Primary SRC Breast Carcinoma
1173,BRSRCC,Primary SRC Carcinoma of Breast
1174,BRSRCC,Primary SRC Carcinoma of the Breast
1175,BRSRCC,Signet Ring Cell Breast Carcinoma
1176,BRSRCC,Signet Ring Cell Carcinoma of Breast
1177,BRSRCC,Signet Ring Cell Carcinoma of the Breast
1178,BRSRCC,SRC Breast Carcinoma
1179,BRSRCC,SRC Carcinoma of Breast
1180,BRSRCC,SRC Carcinoma of the Breast
1181,ROCY,Kidney Oncocytoma
1182,ROCY,Oncocytoma of Kidney
1183,ROCY,Oncocytoma of the Kidney
1184,ROCY,Renal Epithelial Oncocytic Neoplasm
1185,ROCY,Renal Epithelial Oncocytic Tumor
1186,ROCY,Renal Oncocytoma
1187,SLCT,Androblastoma
1188,SLCT,Arrhenoblastoma
1189,SLCT,Ovarian Sertoli-Leydig Cell Neoplasm
1190,SLCT,Ovarian Sertoli-Leydig Cell Tumor
1191,SLCT,Sertoli-Leydig Cell Tumor of Ovary
1192,SLCT,Sertoli-Leydig Cell Tumor of the Ovary
1193,SLCT,Sertoli-Leydig Neoplasm of Ovary
1194,SLCT,Sertoli-Leydig Neoplasm of the Ovary
1195,EOV,Endometrioid Adenocarcinoma of Ovary
1196,EOV,Endometrioid Adenocarcinoma of the Ovary
1197,EOV,Endometrioid Cancer of Ovary
1198,EOV,Endometrioid Cancer of the Ovary
1199,EOV,Endometrioid Carcinoma of Ovary
1200,EOV,Endometrioid Carcinoma of the Ovary
1201,EOV,Ovarian Endometrioid Adenocarcinoma NOS
1202,EOV,Ovarian Endometrioid Adenocarcinoma Not Otherwise Specified
1203,EOV,Ovarian Endometrioid Adenocarcinoma
1204,EOV,Ovarian Endometrioid Cancer
1205,EOV,Ovarian Endometrioid Carcinoma
1206,FL,Follicle Center Lymphoma
1207,FL,Follicular Lymphoma
1208,FL,Follicular Non-Hodgkin Lymphoma
1209,FL,Follicular Non-Hodgkin's Lymphoma
1210,TSTAD,Gastric Tubular Adenocarcinoma
1211,TSTAD,Tubular Adenocarcinoma of Stomach
1212,TSTAD,Tubular Adenocarcinoma of the Stomach
1213,THYROID,"Head and Neck, Thyroid"
1214,THYROID,Thyroid Gland
1215,THYROID,Thyroid
1216,SEBA,Carcinoma of Sebaceous Gland
1217,SEBA,Carcinoma of the Sebaceous Gland
1218,SEBA,Sebaceous Carcinoma
1219,SEBA,Sebaceous Gland Carcinoma
1220,MFH,Fibroxanthosarcoma
1221,MFH,Malignant Fibrous Histiocytoma
1222,MFH,Malignant Fibroxanthoma
1223,MFH,Storiform-Pleomorphic Fibrous Histiocytoma
1224,MFH,Storiform-Pleomorphic Malignant Fibrous Histiocytoma
1225,MFH,Storiform-Pleomorphic MFH
1226,MFH,"Unclassified Pleomorphic Sarcoma (Formerly ""Malignant Fibrous Histiocytoma"")"
1227,MFH,"Unclassified Pleomorphic Sarcoma (Formerly ""MFH"")"
1228,MFH,Unclassified Pleomorphic Sarcoma
1229,MFH,Undifferentiated Pleomorphic Sarcoma
1230,MFH,Undifferentiated Pleomorphic Soft Tissue Sarcoma
1231,MFH,UPS
1232,GSARC,Glioblastoma with a Sarcomatous Component
1233,GSARC,Gliosarcoma
1234,GS,Glomangiosarcoma
1235,GS,Malignant Glomus Neoplasm
1237,PLLS,Pleomorphic Liposarcoma
1238,PEL,Primary Effusion Lymphoma
1239,SMZL,Marginal Zone Lymphoma of Spleen
1240,SMZL,Marginal Zone Lymphoma of the Spleen
1241,SMZL,SLVL
1242,SMZL,Splenic Lymphoma with Circulating Villous Lymphocytes
1243,SMZL,Splenic Marginal Zone B-Cell Lymphoma with Villous Lymphocytes
1244,SMZL,Splenic Marginal Zone B-Cell Lymphoma
1245,SMZL,Splenic Marginal Zone Lymphoma with Villous Lymphocytes
1246,SMZL,Splenic Marginal Zone Lymphoma
1247,ARMM,Anal Malignant Melanoma
1248,ARMM,Anal Melanoma
1249,ARMM,Malignant Melanoma of Anus
1250,ARMM,Malignant Melanoma of the Anus
1251,ARMM,Melanoma of Anus
1252,ARMM,Melanoma of the Anus
1253,PMA,Pilomyxoid Astrocytoma
1254,THHC,Hurthle Cell Carcinoma of the Thyroid Gland
1255,THHC,Hurthle Cell Carcinoma of the Thyroid
1256,THHC,Hurthle Cell Carcinoma of Thyroid Gland
1257,THHC,Hurthle Cell Carcinoma of Thyroid
1258,THHC,Hurthle Cell Thyroid Gland Carcinoma
1259,THHC,Oncocytic Carcinoma of the Thyroid
1260,THHC,Oncocytic Carcinoma of Thyroid
1261,THHC,Thyroid Gland Hurthle Cell Carcinoma
1262,THHC,Thyroid Gland Oncocytic Follicular Carcinoma
1263,THHC,Thyroid Hurthle Cell Carcinoma
1264,THHC,Thyroid Oncocytic Carcinoma
1265,TGCT,Diffuse Giant Cell Neoplasm of Tendon Sheath
1266,TGCT,Diffuse Giant Cell Neoplasm of Tenosynovium
1267,TGCT,Diffuse Giant Cell Neoplasm of the Tenosynovium
1268,TGCT,Diffuse Giant Cell Tumor of Tendon Sheath
1269,TGCT,Diffuse Giant Cell Tumor of Tenosynovium
1270,TGCT,Diffuse Giant Cell Tumor of the Tenosynovium
1271,TGCT,Diffuse Tenosynovial Giant Cell Neoplasm
1272,TGCT,Diffuse Tenosynovial Giant Cell Tumor
1273,TGCT,Pigmented Villonodular Synovitis
1274,TGCT,"Tenosynovial Giant Cell Tumor, Diffuse Type"
1275,OIMT,Immature Germ Cell Teratoma of Ovary
1276,OIMT,Immature Germ Cell Teratoma of the Ovary
1277,OIMT,Immature Ovarian Teratoma
1278,OIMT,Immature Teratoma of Ovary
1279,OIMT,Immature Teratoma of the Ovary
1280,OIMT,Malignant Germ Cell Teratoma of Ovary
1281,OIMT,Malignant Germ Cell Teratoma of the Ovary
1282,OIMT,Malignant Ovarian Germ Cell Teratoma
1283,OIMT,Malignant Ovarian Teratoma
1284,OIMT,Malignant Teratoma of Ovary
1285,OIMT,Malignant Teratoma of the Ovary
1286,OIMT,Ovarian Germ Cell Immature Teratoma
1287,OIMT,Ovarian Immature Germ Cell Teratoma
1288,OIMT,Ovarian Immature Teratoma
1289,ASTB,Astroblastoma
1290,KIDNEY,Kidneys
1291,KIDNEY,Kidney
1292,KIDNEY,"Urinary System, Kidney"
1293,USC,Endometrial Serous Adenocarcinoma
1294,USC,Uterine Corpus Serous Adenocarcinoma
1295,USC,Uterine Papillary Serous Carcinoma
1296,USC,Uterine Serous Adenocarcinoma
1297,USC,Uterine Serous Carcinoma
1298,USC,Uterine Serous Papillary Adenocarcinoma
1299,CEEN,Endometrioid Adenocarcinoma
1300,CEEN,Endometrioid Carcinoma of Female Reproductive System
1301,CEEN,Endometrioid Carcinoma of the Female Reproductive System
1302,CEEN,Endometrioid Carcinoma
1303,CEEN,Female Reproductive Endometrioid Carcinoma
1304,MCL,Classical Mantle Cell Lymphoma
1305,MCL,Mantle Cell Lymphoma
1306,MCL,Mantle Zone Lymphoma
1307,STAS,Adenosquamous Carcinoma of Stomach
1308,STAS,Adenosquamous Carcinoma of the Stomach
1309,STAS,Gastric Adenosquamous Carcinoma
1310,UA,Bladder Urachal Adenocarcinoma
1311,SGO,Oncocytoma of Salivary Gland
1312,SGO,Oncocytoma of the Salivary Gland
1313,SGO,Oxyphilic Adenoma of Salivary Gland
1314,SGO,Oxyphilic Adenoma of the Salivary Gland
1315,SGO,Salivary Gland Oncocytoma
1316,SGO,Salivary Gland Oxyphilic Adenoma
1317,OGCT,Germ Cell Neoplasm of Ovary
1318,OGCT,Germ Cell Neoplasm of the Ovary
1319,OGCT,Germ Cell Tumor of Ovary
1320,OGCT,Germ Cell Tumor of the Ovary
1321,OGCT,Ovarian Germ Cell Neoplasm
1322,OGCT,Ovarian Germ Cell Tumor
1323,UCEC,Carcinoma of Endometrium
1324,UCEC,Carcinoma of the Endometrium
1325,UCEC,Endometrial Carcinoma
1326,SKLMM,Lentigo Maligna Melanoma
1327,SKLMM,Malignant Lentigo Melanoma
1328,CPC,Anaplastic Choroid Plexus Papilloma
1329,CPC,Cancer of Choroid Plexus
1330,CPC,Cancer of the Choroid Plexus
1331,CPC,Carcinoma of Choroid Plexus
1332,CPC,Carcinoma of the Choroid Plexus
1333,CPC,Choroid Plexus Cancer
1334,CPC,Choroid Plexus Carcinoma
1335,AMPCA,Ampulla of Vater Cancer
1336,AMPCA,Ampulla of Vater Carcinoma
1337,AMPCA,Ampullary Carcinoma
1338,SEM,"Seminoma, Pure"
1339,SEM,Seminoma
1340,AMOL,Acute Monocytic Leukemia (FAB M5b)
1341,AMOL,Acute Monocytic Leukemia
1342,AMOL,Monocytic Leukemia
1343,PCM,Multiple Myeloma
1344,PCM,Myeloma
1345,PCM,Plasma Cell Myeloma
1346,CCBOV,Borderline Ovarian Clear Cell Neoplasm
1347,CCBOV,Borderline Ovarian Clear Cell Tumor
1348,HPHSC,Epidermoid Carcinoma of Hypopharynx
1349,HPHSC,Epidermoid Carcinoma of the Hypopharynx
1350,HPHSC,Hypopharyngeal Epidermoid Carcinoma
1351,HPHSC,Hypopharyngeal Squamous Cell Carcinoma
1352,HPHSC,Squamous Cell Carcinoma of Hypopharynx
1353,HPHSC,Squamous Cell Carcinoma of the Hypopharynx
1354,LGCOS,Intraosseous Well-Differentiated Osteogenic Sarcoma
1355,LGCOS,Intraosseous Well-Differentiated Osteosarcoma
1356,LGCOS,Low Grade Central Osteosarcoma
1357,LGCOS,Low Grade Intramedullary Osteosarcoma
1358,LGCOS,Low-Grade Intramedullary Osteosarcoma
1359,ACA,Adenoma of Adrenal Cortex
1360,ACA,Adenoma of Adrenal Gland
1361,ACA,Adenoma of the Adrenal Cortex
1362,ACA,Adenoma of the Adrenal Gland
1363,ACA,Adrenal Adenoma
1364,ACA,Adrenal Cortex Adenoma
1365,ACA,Adrenal Cortical Adenoma
1366,ACA,Adrenal Gland Adenoma
1367,ACA,Adrenocortical Adenoma
1368,ACA,Benign Adenoma of Adrenal Gland
1369,ACA,Benign Adenoma of the Adrenal Gland
1370,ACA,Benign Adrenal Adenoma
1371,ACA,Benign Adrenal Gland Adenoma
1372,EVN,Extraventricular Neurocytoma (WHO Grade II)
1373,EVN,Extraventricular Neurocytoma
1374,AOAST,Anaplastic Mixed Glioma
1375,AOAST,Anaplastic Oligoastrocytoma
1376,AOAST,WHO Grade III Mixed Glioma
1377,PHC,Adrenal Gland Chromaffin Paraganglioma
1378,PHC,Adrenal Gland Chromaffinoma
1379,PHC,Adrenal Gland Paraganglioma
1380,PHC,Adrenal Gland Pheochromocytoma
1381,PHC,Adrenal Medullary Paraganglioma
1382,PHC,Adrenal Medullary Pheochromocytoma
1383,PHC,Adrenal Pheochromocytoma
1384,PHC,Chromaffin Paraganglioma of the Adrenal Gland
1385,PHC,Intraadrenal Paraganglioma
1386,PHC,PCC
1387,PHC,Pheochromocytoma
1388,UM,Intraocular Melanoma
1389,UM,Melanoma of the Uvea
1390,UM,Melanoma of Uvea
1391,UM,Uveal Melanoma
1392,THME,C Cell Carcinoma
1393,THME,Medullary Carcinoma of the Thyroid Gland
1394,THME,Medullary Carcinoma of the Thyroid
1395,THME,Medullary Carcinoma of Thyroid Gland
1396,THME,Medullary Carcinoma of Thyroid
1397,THME,Medullary Carcinoma
1398,THME,Medullary Thyroid Cancer
1399,THME,Medullary Thyroid Carcinoma
1400,THME,Medullary Thyroid Gland Carcinoma
1401,THME,MTC
1402,THME,Parafollicular Cell Carcinoma
1403,THME,Thyroid Gland Medullary Carcinoma
1404,THME,Thyroid Gland Neuroendocrine Carcinoma
1405,THME,Thyroid Medullary Carcinoma
1406,DTE,Desmoplastic Trichoepithelioma
1407,DTE,Sclerosing Epithelial Hamartoma
1408,SCB,Infiltrating Bladder Urothelial Carcinoma Sarcomatoid Variant
1409,SEF,Sclerosing Epithelioid Fibrosarcoma
1410,TET,Epithelial Neoplasm of the Thymus
1411,TET,Epithelial Neoplasm of Thymus
1412,TET,Epithelial Tumor of the Thymus
1413,TET,Epithelial Tumor of Thymus
1414,TET,Thymic Epithelial Tumor
1415,TET,Thymic Epithelium Neoplasm
1416,TET,Thymus Epithelial Neoplasm
1417,TET,Thymus Epithelial Tumor
1418,LGFMS,Low Grade Fibromyxoid Sarcoma
1420,ONBL,Esthesioneuroblastoma
1421,ONBL,Esthesioneuroepithelioma
1422,ONBL,Olfactory Esthesioneuroblastoma
1423,ONBL,Olfactory Neuroblastoma
1424,ONBL,Olfactory Neuroepithelioma
1425,MAAP,Appendix Mucinous Adenocarcinoma
1426,AASTR,Anaplastic Astrocytoma
1427,AASTR,Grade III Astrocytic Neoplasm
1428,AASTR,Grade III Astrocytic Tumor
1429,AASTR,Grade III Astrocytoma
1430,AASTR,Malignant Astrocytoma
1431,CHL,cHL
1432,CHL,Classic Hodgkin Lymphoma
1433,CHL,Classical Hodgkin Lymphoma
1434,CHL,Classical Hodgkin's Lymphoma
1435,OPE,Ovarian Polyembryoma
1436,OPE,Polyembryoma of the Ovary
1437,IHCH,ICC
1438,IHCH,Intrahepatic Bile Duct Carcinoma
1439,IHCH,Intrahepatic Carcinoma of Bile Duct
1440,IHCH,Intrahepatic Carcinoma of the Bile Duct
1441,IHCH,Intrahepatic Cholangiocarcinoma
1442,IHCH,Intrahepatic Cholangiocellular Carcinoma
1443,PRSC,Prostate Squamous Cell Carcinoma
1444,PRSC,Squamous Cell Carcinoma of Prostate
1445,PRSC,Squamous Cell Carcinoma of the Prostate
1446,BFN,Breast Fibroepithelial Neoplasm
1447,BFN,Breast Fibroepithelial Tumor
1448,OM,Eye Melanoma
1449,OM,Melanoma of Eye
1450,OM,Melanoma of the Eye
1451,OM,Ocular Melanoma
1452,BIMT,Central Nervous System Immature Teratoma
1453,BIMT,CNS Immature Teratoma
1454,BIMT,Immature Teratoma of Central Nervous System
1455,BIMT,Immature Teratoma of CNS
1456,BIMT,Immature Teratoma of the Central Nervous System
1457,BIMT,Immature Teratoma of the CNS
1458,ATM,Atypical Meningioma
1459,MPE,Myxopapillary Ependymoma
1460,PLMESO,Mesothelioma of Pleura
1461,PLMESO,Mesothelioma of the Pleura
1462,PLMESO,Pleural Mesothelioma
1463,USMT,Uterine Corpus Smooth Muscle Neoplasm
1464,AGNG,Anaplastic Ganglioglioma
1465,IMMC,Breast Mucinous Carcinoma
1466,IMMC,Colloid Breast Carcinoma
1467,IMMC,Colloid Carcinoma of Breast
1468,IMMC,Colloid Carcinoma of the Breast
1469,IMMC,Infiltrating Colloid Breast Carcinoma
1470,IMMC,Infiltrating Mucinous Breast Carcinoma
1471,IMMC,Invasive Colloid Breast Carcinoma
1472,IMMC,Invasive Mucinous Breast Carcinoma
1473,IMMC,Mucinous Breast Carcinoma
1474,IMMC,Mucinous Carcinoma of Breast
1475,IMMC,Mucinous Carcinoma of the Breast
1476,ECD,Erdheim-Chester Disease
1477,ECD,Lipogranulomatosis
1478,ECD,Polyostotic Sclerosing Histiocytosis
1479,SUBE,Subependymal Astrocytoma
1480,SUBE,Subependymal Glioma
1481,SUBE,Subependymoma
1482,SUBE,WHO Grade I Ependymal Neoplasm
1483,SUBE,WHO Grade I Ependymal Tumor
1484,CERVIX,Cervix Uteri
1485,CERVIX,Cervix
1486,CERVIX,"Genital System, Female, Cervix"
1487,CERVIX,Uterine Cervix
1488,CERVIX,"Uterus, Cervix"
1489,PSCC,Epidermoid Carcinoma of Penis
1490,PSCC,Epidermoid Carcinoma of the Penis
1491,PSCC,Epidermoid Cell Carcinoma of Penis
1492,PSCC,Epidermoid Cell Carcinoma of the Penis
1493,PSCC,Penile Epidermoid Carcinoma
1494,PSCC,Penile Epidermoid Cell Carcinoma
1495,PSCC,Penile Squamous Cell Carcinoma
1496,PSCC,Squamous Cell Carcinoma of Penis
1497,PSCC,Squamous Cell Carcinoma of the Penis
1498,BL,Burkitt Lymphoma
1499,BL,Burkitt's Lymphoma
1500,BL,"Small Non-Cleaved Cell Lymphoma, Burkitt's Type"
1501,CCHM,Breast Carcinoma with Cartilaginous Metaplasia
1502,CCHM,Breast Carcinoma with Chondroid Metaplasia
1503,CHRCC,Chromophobe Adenocarcinoma
1504,CHRCC,Chromophobe Carcinoma of Kidney
1505,CHRCC,Chromophobe Carcinoma of the Kidney
1506,CHRCC,Chromophobe Carcinoma
1507,CHRCC,Chromophobe Cell Carcinoma of Kidney
1508,CHRCC,Chromophobe Cell Carcinoma of the Kidney
1509,CHRCC,Chromophobe Renal Cell Carcinoma
1510,CHRCC,"Renal Cell Carcinoma, Chromophobe Type"
1511,MRT,Rhabdoid Sarcoma
1512,MRT,Rhabdoid Tumor
1513,IDC,Infiltrating Ductal Adenocarcinoma
1514,IDC,Infiltrating Ductal Breast Carcinoma
1515,IDC,Infiltrating Ductal Carcinoma of Breast
1516,IDC,Infiltrating Ductal Carcinoma of the Breast
1517,IDC,Infiltrating Ductal Carcinoma
1518,IDC,Invasive Ductal Adenocarcinoma
1519,IDC,Invasive Ductal Breast Carcinoma
1520,IDC,Invasive Ductal Carcinoma of Breast
1521,IDC,Invasive Ductal Carcinoma of the Breast
1522,IDC,"Invasive Ductal Carcinoma, No Specific Type"
1523,IDC,"Invasive Ductal Carcinoma, NOS"
1524,IDC,"Invasive Ductal Carcinoma, Not Otherwise Specified"
1525,IDC,"Invasive Ductal Carcinoma, NST"
1526,IDC,Invasive Ductal Carcinoma
1527,PNS,Peripheral Nervous System
1528,LUPC,Lung Pleomorphic Carcinoma
1529,EMYOCA,Epithelial-Myoepithelial Carcinoma
1530,COM,Breast Carcinoma with Osseous Metaplasia
1531,CUP,Carcinoma of Unknown Primary Origin
1532,CUP,Carcinoma of Unknown Primary
1533,CSCHW,Cellular Neurilemmoma
1534,CSCHW,Cellular Neurinoma
1535,CSCHW,Cellular Schwannoma
1536,DES,Aggressive Fibromatosis
1537,DES,Deep Fibromatosis/Desmoid Tumor
1538,DES,Deep Fibromatosis
1539,DES,Desmoid Fibromatosis
1540,DES,Desmoid Tumor
1541,DES,Desmoid-Type Fibromatosis
1542,ULM,Body of Uterus Fibroid
1543,ULM,Body of Uterus Leiomyoma
1544,ULM,Corpus Uteri Fibroid
1545,ULM,Corpus Uteri Leiomyoma
1546,ULM,Fibroid of Body of Uterus
1547,ULM,Fibroid of Corpus Uteri
1548,ULM,Fibroid of the Body of Uterus
1549,ULM,Fibroid of the Corpus Uteri
1550,ULM,Fibroid of the Uterine Body
1551,ULM,Fibroid of the Uterine Corpus
1552,ULM,Fibroid of Uterine Body
1553,ULM,Fibroid of Uterine Corpus
1554,ULM,Leiomyoma of Body of Uterus
1555,ULM,Leiomyoma of Corpus Uteri
1556,ULM,Leiomyoma of the Body of Uterus
1557,ULM,Leiomyoma of the Corpus Uteri
1558,ULM,Leiomyoma of the Uterine Body
1559,ULM,Leiomyoma of the Uterine Corpus
1560,ULM,Leiomyoma of Uterine Body
1561,ULM,Leiomyoma of Uterine Corpus
1562,ULM,Uterine Body Fibroid
1563,ULM,Uterine Body Leiomyoma
1564,ULM,Uterine Corpus Fibroid
1565,ULM,Uterine Corpus Leiomyomata
1566,ULM,Uterine Corpus Leiomyoma
1567,ULM,Uterine Fibroid
1568,SKIN,Integument
1569,SKIN,Skin
1570,GCLC,Giant Cell Carcinoma of Lung
1571,GCLC,Giant Cell Carcinoma of the Lung
1572,GCLC,Lung Giant Cell Carcinoma
1573,PTCA,Cancer of Pituitary Gland
1574,PTCA,Cancer of Pituitary
1575,PTCA,Cancer of the Pituitary Gland
1576,PTCA,Cancer of the Pituitary
1577,PTCA,Carcinoma of Pituitary Gland
1578,PTCA,Carcinoma of Pituitary
1579,PTCA,Carcinoma of the Pituitary Gland
1580,PTCA,Carcinoma of the Pituitary
1581,PTCA,Pituitary Carcinoma
1582,PTCA,Pituitary Gland Adenocarcinoma
1583,PTCA,Pituitary Gland Cancer
1584,PTCA,Pituitary Gland Carcinoma
1585,WM,Waldenstrom Macroglobulinemia
1586,WM,Waldenstrom's Macroglobulinemia
1587,WM,Waldenström Macroglobulinemia
1588,DIA,Desmoplastic Astrocytoma of Infancy
1589,DIA,Desmoplastic Infantile Astrocytoma
1590,ANGS,Angiosarcoma
1591,ANGS,Hemangiosarcoma
1592,ANGS,Malignant Angioendothelioma
1593,ANGS,Malignant Hemangioendothelioma
1594,UELMS,Uterine Corpus Epithelioid Leiomyosarcoma
1597,LUNG,Lungs
1598,LUNG,Lung
1599,LUNG,"Respiratory System, Lung"
1600,FIBS,Fibrosarcoma
1601,CMC,Colon Medullary Carcinoma
1602,MSTAD,Mucinous Adenocarcinoma of Stomach
1603,MSTAD,Mucinous Adenocarcinoma of the Stomach
1604,MSTAD,Mucinous Gastric Adenocarcinoma
1605,MSTAD,Mucinous Stomach Adenocarcinoma
1606,TMT,Dermoid Cyst with Malignant Transformation
1607,TMT,Teratoma with Malignant Transformation
1608,PHCH,Perihilar Bile Duct Carcinoma
1609,PHCH,Perihilar ICC
1610,PHCH,Perihilar Intrahepatic Cholangiocarcinoma
1611,TYST,Endodermal Sinus Neoplasm of Testis
1612,TYST,Endodermal Sinus Neoplasm of the Testis
1613,TYST,Endodermal Sinus Tumor of Testis
1614,TYST,Endodermal Sinus Tumor of the Testis
1615,TYST,Testicular Endodermal Sinus Neoplasm
1616,TYST,Testicular Endodermal Sinus Tumor
1617,TYST,Testicular Yolk Sac Neoplasm
1618,TYST,Testicular Yolk Sac Tumor
1619,TYST,Yolk Sac Neoplasm of Testis
1620,TYST,Yolk Sac Neoplasm of the Testis
1621,TYST,Yolk Sac Tumor of Testis
1622,TYST,Yolk Sac Tumor of the Testis
1623,SRCC,Sarcomatoid Renal Cell Carcinoma
1624,SCCE,Cervical Small Cell Carcinoma
1625,SCCE,Cervix Small Cell Carcinoma
1626,SCCE,Cervix Uteri Small Cell Carcinoma
1627,SCCE,Small Cell Carcinoma of Cervix Uteri
1628,SCCE,Small Cell Carcinoma of Cervix
1629,SCCE,Small Cell Carcinoma of the Cervix Uteri
1630,SCCE,Small Cell Carcinoma of the Cervix
1631,SCCE,Small Cell Carcinoma of the Uterine Cervix
1632,SCCE,Small Cell Carcinoma of Uterine Cervix
1633,SCCE,Uterine Cervix Small Cell Carcinoma
1634,CHBL,Chondroblastoma
1635,BPT,Benign Breast Phyllodes Tumor
1636,BPT,Benign Phyllodes Neoplasm of Breast
1637,BPT,Benign Phyllodes Neoplasm of the Breast
1638,BPT,Benign Phyllodes Tumor of Breast
1639,BPT,Benign Phyllodes Tumor of the Breast
1640,BPT,Breast Benign Phyllodes Neoplasm
1641,PANCREAS,"Gastrointestinal Tract, Pancreas"
1642,PANCREAS,Pancreas
1643,EYE,Eyeball
1644,EYE,Eye
1645,EYE,Ocular
1646,EYE,Ophthalmic
1647,EYE,Optic
1648,STMYEC,Malignant Myoepithelioma
1650,SCOAH,Folliculo-Stellate Cell Tumor of the Pituitary
1651,SCOAH,SCO
1652,SCOAH,Spindle Cell Oncocytoma of the Adenohypophysis (WHO Grade I)
1653,SCOAH,Spindle Cell Oncocytoma of the Adenohypophysis
1654,SCOAH,Spindle Cell Oncocytoma
1655,PD,Nipple Paget's Disease
1656,PD,Paget Disease of the Nipple
1657,PD,Paget's Disease of Nipple
1658,PD,Paget's Disease of the Nipple
1659,SPC,Solid Papillary Breast Carcinoma
1660,SPC,Solid Papillary Carcinoma of the Breast
1661,CHGL,Chordoid Glioma of 3rd Ventricle
1662,CHGL,Chordoid Glioma of the 3rd Ventricle
1663,CHGL,Chordoid Glioma of the Third Ventricle (WHO Grade II)
1664,CHGL,Chordoid Glioma of the Third Ventricle
1665,CHGL,Chordoid Glioma of Third Ventricle
1666,CHGL,Chordoid Glioma
1667,CHGL,Third Ventricle Chordoid Glioma
1668,CHOM,Chordoid Meningioma
1669,PRNE,Neuroendocrine Neoplasm of Prostate
1670,PRNE,Neuroendocrine Neoplasm of the Prostate
1671,PRNE,Prostate Neuroendocrine Neoplasm
1672,BTOV,Brenner Tumor
1673,MYCF,MF
1674,MYCF,Mycosis Fungoides
1675,SRAP,Appendix Signet Ring Cell Carcinoma
1676,DSRCT,Desmoplastic Small Round Cell Tumor
1677,DSRCT,Desmoplastic Small Round-Cell Neoplasm
1678,DSRCT,Desmoplastic Small Round-Cell Tumor
1679,DSRCT,Polyphenotypic Small Round Cell Tumor
1680,NMZL,Monocytoid B-Cell Lymphoma
1681,NMZL,Nodal Marginal Zone B-Cell Lymphoma
1682,NMZL,Nodal Marginal Zone Lymphoma
1683,COAD,Adenocarcinoma of Colon
1684,COAD,Adenocarcinoma of the Colon
1685,COAD,Colon Adenocarcinoma
1686,COAD,Colonic Adenocarcinoma
1687,LIAD,Adenoma of Liver Cells
1688,LIAD,Adenoma of the Liver Cells
1689,LIAD,HCA
1690,LIAD,Hepatocellular Adenoma
1691,LIAD,Liver Cell Adenoma
1692,BLADDER,Bladder
1693,BLADDER,Urinary Bladder
1694,BLADDER,"Urinary System, Bladder"
1695,CENE,Cervical Large Cell Neuroendocrine Carcinoma
1697,MPC,Myopericytoma
1698,MPC,Solitary Myofibroma
1699,OTHER,Other or Miscellaneous
1700,OTHER,Other
1701,SRCCR,Rectal Signet Ring Cell Adenocarcinoma
1702,SRCCR,Signet Ring Adenocarcinoma of Rectum
1703,SRCCR,Signet Ring Adenocarcinoma of the Rectum
1704,SRCCR,Signet Ring Cell Adenocarcinoma of Rectum
1705,SRCCR,Signet Ring Cell Adenocarcinoma of the Rectum
1706,UPECOMA,Uterine Corpus PEComa
1707,UPECOMA,Uterine Corpus Perivascular Epithelioid Cell Tumor
1708,AECA,Carcinoma of Sweat Gland
1709,AECA,Carcinoma of the Sweat Gland
1710,AECA,Sweat Gland Carcinoma
1711,MDEP,Central Nervous System Medulloepithelioma
1712,MDEP,"Medulloepithelioma, Central Nervous System"
1713,MDEP,Medulloepithelioma
1715,DCS,Histiocytic and Dendritic Cell Neoplasm
1716,DCS,Histiocytic and Dendritic Cell Tumors
1717,MAC,Eccrine Epithelioma
1718,MAC,Microcystic Adnexal Carcinoma
